,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,y
954,8.4,66.01548004150389,0.3854263637356542,378.5422647852034,17.30641794204712,1.846297867183808,1628.1463726867275,41.441710481824224,0.6288883578328276,2.1343286011718154,103.1380635398946,1.0526196771810992,9.0
1226,8.0,63.24084854125977,-0.03804305776766099,386.42496940051626,17.206901550292972,1.9996598582402647,1592.5211779671854,44.54486500274653,0.5943553510816099,2.0805914521929263,104.03903612088932,1.0410294510135767,8.2
500,10.0,62.731224060058594,-0.2850819972841155,382.33316245921316,18.330018520355228,1.639931407434735,1567.3444966213606,45.11980887839509,0.5685302316342179,2.2781796670700003,104.72613823311016,1.0372801608139146,8.5
146,10.5,61.16459274291992,-0.10157835560345528,380.4762570112976,20.012320995330807,1.8309612570379028,1661.060927957166,36.44738710734562,1.2488461295756546,2.226177054349017,103.55914740141888,1.0323634900058238,8.5
360,10.0,67.26123809814453,0.4575181634802295,381.03163896045226,14.671594619750975,2.0761791278938557,1529.414953024646,44.260513933498544,1.2163474580081717,2.407503626219181,103.60768687796455,1.0507502416712622,10.1
1147,8.1,68.74292755126953,-0.39856304385612334,376.94649822878785,19.026634693145756,1.9624182244032176,1494.8913205261586,44.76194070535879,0.4867439512408106,1.9099329629476065,103.47710851903129,1.046210578795153,8.6
469,8.8,62.39147186279297,0.1583460497676803,384.5309516880336,17.993557929992676,2.001607694823629,1572.9474812051662,43.50520209702237,1.0583511294680161,2.301034072672426,104.95397277610687,1.0536127418509191,8.6
358,10.2,65.72291564941406,-0.05751160233348732,379.20865263407796,13.7901611328125,2.0393206260980623,1572.3023161784258,44.54011179821649,1.0460625195008608,2.361533371686529,104.00166904383222,1.050343273300247,9.0
1123,7.6,72.05549621582031,-0.37667463508209625,374.51114938742995,17.567055225372314,1.992054360754525,1501.1246542293493,45.365707673158276,0.5126562714044102,1.90113344556872,103.4509810018494,1.0494488609200152,8.0
518,7.3,74.84900665283203,-0.4820007630604842,384.0846559793962,16.951000213623047,1.8686834773228167,1554.73498426891,47.389522401030405,0.5614002830027486,2.2371348875105648,108.3488528249955,1.0501364754918994,7.3
1130,8.2,55.53039169311523,0.17795810392223801,388.3008466659353,16.477112770080563,1.9310772973654855,1485.9179769958914,45.36903066877375,0.4916044064747325,1.7125995408100367,103.19182464464396,1.041180936695671,8.3
501,8.5,61.57984924316406,-0.6005338017474698,383.3695968878583,20.2729606628418,1.6364570613473586,1576.155122802123,45.18846680244278,0.5647389109414414,2.2587302605339685,104.90609036741878,1.0379878735320782,6.3
1032,8.2,57.51227188110352,-0.3037556953849979,377.5115510600175,17.761350631713867,1.9470785508197268,1483.2826504794657,44.272493376358426,0.5763136507436426,1.8575720324120493,103.32719578070952,1.0354525174685576,9.4
646,8.7,83.89958190917969,-0.5750641193436353,387.7362951733389,15.837361335754395,1.809736542946207,1552.5247488421924,43.26972071482207,0.4879713547830934,2.0591982682157584,107.94766740447292,1.0506263997754035,7.3
477,7.1,70.50774383544922,-0.7414552975930814,375.04895795048486,13.70012378692627,2.007117830839925,1530.1898361167298,41.94871122023584,0.3147806275383053,2.3348181779224504,114.81559931661805,1.047857641824947,7.0
